fetched_at_utc,epoch_utc,line1,line2,incl_deg,raan_deg,ecc,argp_deg,ma_deg,mean_motion_rev_per_day
2026-02-15T22:58:38.347297+00:00,2026-02-15T14:00:52.562016+00:00,1 56371U 23060B   26046.58394169 -.00000058  00000-0  00000-0 0  9990,2 56371   2.4614  81.5082 0000892 333.0673  13.6717  1.00269745 10234,2.4614,81.5082,8.92e-05,333.0673,13.6717,1.00269745
2026-02-15T23:06:37.119647+00:00,2026-02-15T14:00:52.562016+00:00,1 56371U 23060B   26046.58394169 -.00000058  00000-0  00000-0 0  9990,2 56371   2.4614  81.5082 0000892 333.0673  13.6717  1.00269745 10234,2.4614,81.5082,8.92e-05,333.0673,13.6717,1.00269745
2026-02-15T23:13:53.811433+00:00,2026-02-15T14:00:52.562016+00:00,1 56371U 23060B   26046.58394169 -.00000058  00000-0  00000-0 0  9990,2 56371   2.4614  81.5082 0000892 333.0673  13.6717  1.00269745 10234,2.4614,81.5082,8.92e-05,333.0673,13.6717,1.00269745
2026-02-15T23:48:32.253659+00:00,2026-02-15T14:00:52.562016+00:00,1 56371U 23060B   26046.58394169 -.00000058  00000-0  00000-0 0  9990,2 56371   2.4614  81.5082 0000892 333.0673  13.6717  1.00269745 10234,2.4614,81.5082,8.92e-05,333.0673,13.6717,1.00269745
2026-02-23T12:10:32.698751+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-23T12:13:24.531125+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-23T12:18:05.945226+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-23T12:20:53.791091+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-23T12:43:37.020603+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-23T12:44:34.300016+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-23T13:33:32.660058+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-24T07:16:06.862989+00:00,2026-02-22T01:04:16.788864+00:00,1 56371U 23060B   26053.04463876 -.00000057  00000-0  00000-0 0  9990,2 56371   2.4784  81.4194 0000092 285.3094 233.7255  1.00269793 10306,2.4784,81.4194,9.2e-06,285.3094,233.7255,1.00269793
2026-02-25T07:17:01.135059+00:00,2026-02-24T18:06:42.827904+00:00,1 56371U 23060B   26055.75466236 -.00000067  00000-0  00000-0 0  9994,2 56371   2.4849  81.3842 0000318 345.2152  72.1379  1.00272243 10338,2.4849,81.3842,3.18e-05,345.2152,72.1379,1.00272243
2026-02-26T07:15:42.631825+00:00,2026-02-25T19:47:12.099840+00:00,1 56371U 23060B   26056.82444560 -.00000072  00000-0  00000+0 0  9994,2 56371   2.4876  81.3698 0000358 339.2365 104.3114  1.00272375 10342,2.4876,81.3698,3.58e-05,339.2365,104.3114,1.00272375
2026-02-27T07:13:05.988046+00:00,2026-02-26T18:02:13.328160+00:00,1 56371U 23060B   26057.75154315 -.00000075  00000-0  00000-0 0  9997,2 56371   2.4899  81.3573 0000379 338.0735  80.1594  1.00272464 10353,2.4899,81.3573,3.79e-05,338.0735,80.1594,1.00272464
2026-02-28T06:57:00.326360+00:00,2026-02-27T21:52:21.686304+00:00,1 56371U 23060B   26058.91136211 -.00000079  00000-0  00000-0 0  9995,2 56371   2.4928  81.3409 0000442 341.1761 135.7552  1.00272525 10369,2.4928,81.3409,4.42e-05,341.1761,135.7552,1.00272525
2026-03-01T07:04:07.178920+00:00,2026-02-28T23:05:41.964864+00:00,1 56371U 23060B   26059.96229126 -.00000080  00000-0  00000-0 0  9991,2 56371   2.4955  81.3257 0000485 342.4944 153.8290  1.00272658 10372,2.4955,81.3257,4.85e-05,342.4944,153.829,1.00272658
2026-03-02T07:16:17.203070+00:00,2026-03-01T21:20:42.355968+00:00,1 56371U 23060B   26060.88937912 -.00000080  00000-0  00000-0 0  9993,2 56371   2.4979  81.3124 0000512 342.5570 128.4482  1.00272706 10384,2.4979,81.3124,5.12e-05,342.557,128.4482,1.00272706
2026-04-06T08:01:46.442860+00:00,2026-04-05T21:38:48.113664+00:00,1 56371U 23060B   26095.90194576 -.00000060  00000-0  00000-0 0  9993,2 56371   2.5897  80.8424 0001102 322.2166 188.3303  1.00272880 10732,2.5897,80.8424,0.0001102,322.2166,188.3303,1.0027288
2026-04-07T07:49:23.878550+00:00,2026-04-06T21:36:21.695040+00:00,1 56371U 23060B   26096.90025110 -.00000060  00000-0  00000-0 0  9991,2 56371   2.5923  80.8295 0001125 323.2794 187.6584  1.00272970 10745,2.5923,80.8295,0.0001125,323.2794,187.6584,1.0027297
2026-04-08T07:52:55.949961+00:00,2026-04-08T02:41:57.719040+00:00,1 56371U 23060B   26098.11247360 -.00000060  00000-0  00000+0 0  9998,2 56371   2.5955  80.8142 0001164 325.5784 262.9749  1.00273052 10751,2.5955,80.8142,0.0001164,325.5784,262.9749,1.00273052
2026-04-09T07:54:39.505118+00:00,2026-04-09T02:39:27.007200+00:00,1 56371U 23060B   26099.11072925 -.00000060  00000-0  00000+0 0  9992,2 56371   2.5982  80.8013 0001196 327.5571 261.3696  1.00273111 10760,2.5982,80.8013,0.0001196,327.5571,261.3696,1.00273111
2026-04-10T07:59:03.605112+00:00,2026-04-09T21:28:58.578816+00:00,1 56371U 23060B   26099.89512244 -.00000060  00000-0  00000-0 0  9991,2 56371   2.6003  80.7912 0001221 329.5578 182.5374  1.00273156 10777,2.6003,80.7912,0.0001221,329.5578,182.5374,1.00273156
2026-04-11T07:16:33.648721+00:00,2026-04-10T02:36:56.888928+00:00,1 56371U 23060B   26100.10899177 -.00000060  00000-0  00000-0 0  9991,2 56371   2.6009  80.7884 0001232 329.7270 259.5758  1.00273167 10777,2.6009,80.7884,0.0001232,329.727,259.5758,1.00273167
2026-04-12T07:44:11.197636+00:00,2026-04-11T21:23:54.511296+00:00,1 56371U 23060B   26101.89160314 -.00000059  00000-0  00000-0 0  9990,2 56371   2.6056  80.7660 0001298 333.6388 179.1927  1.00273264 10792,2.6056,80.766,0.0001298,333.6388,179.1927,1.00273264
2026-04-13T08:22:28.084585+00:00,2026-04-13T00:46:34.773888+00:00,1 56371U 23060B   26103.03234692 -.00000058  00000-0  00000+0 0  9997,2 56371   2.6086  80.7521 0001342 335.6148 229.0290  1.00273317 10806,2.6086,80.7521,0.0001342,335.6148,229.029,1.00273317
2026-04-14T08:03:34.495658+00:00,2026-04-13T09:20:02.501376+00:00,1 56371U 23060B   26103.38891784 -.00000058  00000-0  00000-0 0  9997,2 56371   2.6096  80.7475 0001356 336.2432 357.1242  1.00273335 10803,2.6096,80.7475,0.0001356,336.2432,357.1242,1.00273335
2026-04-15T08:04:02.265373+00:00,2026-04-14T21:16:13.467072+00:00,1 56371U 23060B   26104.88626698 -.00000055  00000-0  00000-0 0  9990,2 56371   2.6134  80.7277 0001409 335.6858 178.2237  1.00272254 10827,2.6134,80.7277,0.0001409,335.6858,178.2237,1.00272254
2026-04-16T08:02:00.506240+00:00,2026-04-15T21:13:33.304800+00:00,1 56371U 23060B   26105.88441325 -.00000055  00000-0  00000-0 0  9993,2 56371   2.6160  80.7174 0001440 337.9416 176.2969  1.00272296 10839,2.616,80.7174,0.000144,337.9416,176.2969,1.00272296
2026-04-17T08:03:27.751964+00:00,2026-04-16T21:27:21.672576+00:00,1 56371U 23060B   26106.89400084 -.00000054  00000-0  00000-0 0  9991,2 56371   2.6186  80.7053 0001482 340.2992 178.4004  1.00272338 10847,2.6186,80.7053,0.0001482,340.2992,178.4004,1.00272338
2026-04-18T07:35:09.713813+00:00,2026-04-17T21:07:21.771840+00:00,1 56371U 23060B   26107.88011310 -.00000056  00000-0  00000-0 0  9993,2 56371   2.6211  80.6937 0001523 341.7468 172.9396  1.00272409 10859,2.6211,80.6937,0.0001523,341.7468,172.9396,1.00272409
2026-04-19T07:45:58.527391+00:00,2026-04-18T22:07:38.747136+00:00,1 56371U 23060B   26108.92197624 -.00000058  00000-0  00000-0 0  9994,2 56371   2.6238  80.6810 0001568 343.9704 186.8299  1.00272485 10865,2.6238,80.681,0.0001568,343.9704,186.8299,1.00272485
2026-04-20T08:27:04.794360+00:00,2026-04-20T03:53:56.232096+00:00,1 56371U 23060B   26110.16245639 -.00000062  00000-0  00000+0 0  9997,2 56371   2.6269  80.6647 0001599 345.6667 272.9507  1.00272676 10870,2.6269,80.6647,0.0001599,345.6667,272.9507,1.00272676
2026-04-21T08:07:40.800981+00:00,2026-04-20T12:27:23.588928+00:00,1 56371U 23060B   26110.51902302 -.00000064  00000-0  00000-0 0  9996,2 56371   2.6278  80.6607 0001607 346.4714  40.8667  1.00272684 10887,2.6278,80.6607,0.0001607,346.4714,40.8667,1.00272684
2026-04-22T08:05:16.482161+00:00,2026-04-21T22:40:57.412416+00:00,1 56371U 23060B   26111.94510894 -.00000070  00000-0  00000-0 0  9992,2 56371   2.6315  80.6453 0001616 346.5673 195.5809  1.00271651 10893,2.6315,80.6453,0.0001616,346.5673,195.5809,1.00271651
2026-04-23T08:10:01.890457+00:00,2026-04-22T23:13:31.472832+00:00,1 56371U 23060B   26112.96772538 -.00000073  00000-0  00000-0 0  9993,2 56371   2.6341  80.6307 0001630 347.9906 203.3223  1.00271679 10900,2.6341,80.6307,0.000163,347.9906,203.3223,1.00271679
2026-04-24T08:22:34.399934+00:00,2026-04-23T08:54:23.739840+00:00,1 56371U 23060B   26113.37110810 -.00000074  00000-0  00000-0 0  9999,2 56371   2.6351  80.6257 0001625 348.6108 348.3225  1.00271704 10902,2.6351,80.6257,0.0001625,348.6108,348.3225,1.00271704
